lon,lat,Grade,ActiveTeams,InactiveTeams,School,Local District,Hosting,Grants,VIQC,VRC,Workshop,NumberofteamsVEXIQESLeague,EventDatesVEXIQESLeague,EventWebsiteVEXIQESLeague,NumberofteamsVEXIQMSLeague,EventDatesVEXIQMSLeague,EventWebsiteVEXIQMSLeague,NumberofteamsVEXIQESMSLeague,Event DatesVEXIQESMSLeague,EventWebsiteVEXIQESMSLeague,NumberofteamsVEXIQESTournament,EventDatesVEXIQESTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQMSTournament,EventDatesVEXIQMSTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQESMSTournament,EventDatesVEXIQESMSTournament,EventWebsiteVEXIQESMSTournament,workshopDates
-118.2854840101,33.826558768,Middle,"14140B, 14140A",,Stephen M. White Middle School,South,Yes,yes,Yes,yes,,,,,,,,,,,,,,,,,,,,
-118.2730849858,34.0486905197,Elementary,"14952B, 14952A",,10th Street Elementary School,Central,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.288213662,33.9859858392,High,,,Augustus F. Hawkins High School,West,Yes,,,,,,,,,,,,,,,,,,,,,,,
-118.421014916936,34.2884994923748,High,,,Cesar E Chavez Learning Academies (CCLA),Northeast,Yes,,,,,,,,,,,,,,,,,,,,,,,
-118.2734113099,33.9907690477,Elementary,"19810C, 19810B, 19810A",,Estrella Elementary School,Central,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1831605167,33.9875499531,span,"10946F, 10946E, 10946D, 10946C, 10946B, 10946A",,Maywood Center for Enriched Studies,East ,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.209656137028,34.0376081859591,High,,,Boyle Heights STEM Magnet HS,East,Yes,,,,,,,,,,,,,,,,,,,,,,,
-118.4773571306,34.2521567354,Elementary,"91343D, 91343C, 91343B, 91343A",,Vintage Math/Science/Technology Magnet School,Northwest,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5054285927,34.1937722735,Middle,"11108A, 11108B,11108C,11108D","11108E, 11108F,11108G",William Mulholland Middle School,Northwest,Yes,,Yes,,,36,"10/13/2022, 11/3/2022, 12/1/2022, 1/20/2023",,,,,,,,,,,36,2/4/2023,,,,,
-118.5864111385,34.2536220979,High,,,Chatsworth High School,Northwest,Yes,,,,,,,,,,,,,,,,,,,,,,,
-118.4348564525,34.0301697734,Middle,94389A,,Daniel Webster Middle School ,West,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1832146645,34.1194612551,Middle,39340A,,Luther Burbank Middle School,Central,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4458399206,34.0013819178,Middle,"66521B, 66521A, 12566A",,Mark Twain Middle School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2722532668,33.9401936789,Elementary,,,107th Street Elementary School,South,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2618237175,33.9373690235,Elementary,97979A,,109th Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2526273253,33.9339187877,Elementary,26007Z,,112th Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
